ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID
680,"HL Road Frame - Black, 58",FR-R92B-58,Black,1059.31,1431.5,58,1016.04,18,6
706,"HL Road Frame - Red, 58",FR-R92R-58,Red,1059.31,1431.5,58,1016.04,18,6
707,"Sport-100 Helmet, Red",HL-U509-R,Red,13.0863,34.99,NULL,NULL,35,33
708,"Sport-100 Helmet, Black",HL-U509,Black,13.0863,34.99,NULL,NULL,35,33
709,"Mountain Bike Socks, M",SO-B909-M,White,3.3963,9.5,M,NULL,27,18
710,"Mountain Bike Socks, L",SO-B909-L,White,3.3963,9.5,L,NULL,27,18
711,"Sport-100 Helmet, Blue",HL-U509-B,Blue,13.0863,34.99,NULL,NULL,35,33
712,AWC Logo Cap,CA-1098,Multi,6.9223,8.99,NULL,NULL,23,2
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,Multi,38.4923,49.99,S,NULL,25,11
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,Multi,38.4923,49.99,M,NULL,25,11
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,Multi,38.4923,49.99,L,NULL,25,11
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,Multi,38.4923,49.99,XL,NULL,25,11
717,"HL Road Frame - Red, 62",FR-R92R-62,Red,868.6342,1431.5,62,1043.26,18,6
718,"HL Road Frame - Red, 44",FR-R92R-44,Red,868.6342,1431.5,44,961.61,18,6
719,"HL Road Frame - Red, 48",FR-R92R-48,Red,868.6342,1431.5,48,979.75,18,6
720,"HL Road Frame - Red, 52",FR-R92R-52,Red,868.6342,1431.5,52,997.9,18,6
721,"HL Road Frame - Red, 56",FR-R92R-56,Red,868.6342,1431.5,56,1016.04,18,6
722,"LL Road Frame - Black, 58",FR-R38B-58,Black,204.6251,337.22,58,1115.83,18,9
723,"LL Road Frame - Black, 60",FR-R38B-60,Black,204.6251,337.22,60,1124.9,18,9
724,"LL Road Frame - Black, 62",FR-R38B-62,Black,204.6251,337.22,62,1133.98,18,9
725,"LL Road Frame - Red, 44",FR-R38R-44,Red,187.1571,337.22,44,1052.33,18,9
726,"LL Road Frame - Red, 48",FR-R38R-48,Red,187.1571,337.22,48,1070.47,18,9
727,"LL Road Frame - Red, 52",FR-R38R-52,Red,187.1571,337.22,52,1088.62,18,9
728,"LL Road Frame - Red, 58",FR-R38R-58,Red,187.1571,337.22,58,1115.83,18,9
729,"LL Road Frame - Red, 60",FR-R38R-60,Red,187.1571,337.22,60,1124.9,18,9
730,"LL Road Frame - Red, 62",FR-R38R-62,Red,187.1571,337.22,62,1133.98,18,9
731,"ML Road Frame - Red, 44",FR-R72R-44,Red,352.1394,594.83,44,1006.97,18,16
732,"ML Road Frame - Red, 48",FR-R72R-48,Red,352.1394,594.83,48,1025.11,18,16
733,"ML Road Frame - Red, 52",FR-R72R-52,Red,352.1394,594.83,52,1043.26,18,16
734,"ML Road Frame - Red, 58",FR-R72R-58,Red,352.1394,594.83,58,1070.47,18,16
735,"ML Road Frame - Red, 60",FR-R72R-60,Red,352.1394,594.83,60,1079.54,18,16
736,"LL Road Frame - Black, 44",FR-R38B-44,Black,204.6251,337.22,44,1052.33,18,9
737,"LL Road Frame - Black, 48",FR-R38B-48,Black,204.6251,337.22,48,1070.47,18,9
738,"LL Road Frame - Black, 52",FR-R38B-52,Black,204.6251,337.22,52,1088.62,18,9
739,"HL Mountain Frame - Silver, 42",FR-M94S-42,Silver,747.2002,1364.5,42,1233.76,16,5
740,"HL Mountain Frame - Silver, 44",FR-M94S-44,Silver,706.811,1364.5,44,1251.91,16,5
741,"HL Mountain Frame - Silver, 48",FR-M94S-52,Silver,706.811,1364.5,48,1270.05,16,5
742,"HL Mountain Frame - Silver, 46",FR-M94S-46,Silver,747.2002,1364.5,46,1288.2,16,5
743,"HL Mountain Frame - Black, 42",FR-M94B-42,Black,739.041,1349.6,42,1233.76,16,5
744,"HL Mountain Frame - Black, 44",FR-M94B-44,Black,699.0928,1349.6,44,1251.91,16,5
745,"HL Mountain Frame - Black, 48",FR-M94B-48,Black,699.0928,1349.6,48,1270.05,16,5
746,"HL Mountain Frame - Black, 46",FR-M94B-46,Black,739.041,1349.6,46,1288.2,16,5
747,"HL Mountain Frame - Black, 38",FR-M94B-38,Black,739.041,1349.6,38,1215.62,16,5
748,"HL Mountain Frame - Silver, 38",FR-M94S-38,Silver,747.2002,1364.5,38,1215.62,16,5
749,"Road-150 Red, 62",BK-R93R-62,Red,2171.2942,3578.27,62,6803.85,6,25
750,"Road-150 Red, 44",BK-R93R-44,Red,2171.2942,3578.27,44,6245.93,6,25
751,"Road-150 Red, 48",BK-R93R-48,Red,2171.2942,3578.27,48,6409.23,6,25
752,"Road-150 Red, 52",BK-R93R-52,Red,2171.2942,3578.27,52,6540.77,6,25
753,"Road-150 Red, 56",BK-R93R-56,Red,2171.2942,3578.27,56,6658.7,6,25
754,"Road-450 Red, 58",BK-R68R-58,Red,884.7083,1457.99,58,8069.37,6,28
755,"Road-450 Red, 60",BK-R68R-60,Red,884.7083,1457.99,60,8119.26,6,28
756,"Road-450 Red, 44",BK-R68R-44,Red,884.7083,1457.99,44,7606.7,6,28
757,"Road-450 Red, 48",BK-R68R-48,Red,884.7083,1457.99,48,7770,6,28
758,"Road-450 Red, 52",BK-R68R-52,Red,884.7083,1457.99,52,7901.54,6,28
759,"Road-650 Red, 58",BK-R50R-58,Red,486.7066,782.99,58,8976.55,6,30
760,"Road-650 Red, 60",BK-R50R-60,Red,486.7066,782.99,60,9026.44,6,30
761,"Road-650 Red, 62",BK-R50R-62,Red,486.7066,782.99,62,9071.8,6,30
762,"Road-650 Red, 44",BK-R50R-44,Red,486.7066,782.99,44,8513.88,6,30
763,"Road-650 Red, 48",BK-R50R-48,Red,486.7066,782.99,48,8677.18,6,30
764,"Road-650 Red, 52",BK-R50R-52,Red,486.7066,782.99,52,8808.72,6,30
765,"Road-650 Black, 58",BK-R50B-58,Black,486.7066,782.99,58,8976.55,6,30
766,"Road-650 Black, 60",BK-R50B-60,Black,486.7066,782.99,60,9026.44,6,30
767,"Road-650 Black, 62",BK-R50B-62,Black,486.7066,782.99,62,9071.8,6,30
768,"Road-650 Black, 44",BK-R50B-44,Black,486.7066,782.99,44,8513.88,6,30
769,"Road-650 Black, 48",BK-R50B-48,Black,486.7066,782.99,48,8677.18,6,30
770,"Road-650 Black, 52",BK-R50B-52,Black,486.7066,782.99,52,8808.72,6,30
771,"Mountain-100 Silver, 38",BK-M82S-38,Silver,1912.1544,3399.99,38,9230.56,5,19
772,"Mountain-100 Silver, 42",BK-M82S-42,Silver,1912.1544,3399.99,42,9421.06,5,19
773,"Mountain-100 Silver, 44",BK-M82S-44,Silver,1912.1544,3399.99,44,9584.36,5,19
774,"Mountain-100 Silver, 48",BK-M82S-48,Silver,1912.1544,3399.99,48,9715.9,5,19
775,"Mountain-100 Black, 38",BK-M82B-38,Black,1898.0944,3374.99,38,9230.56,5,19
776,"Mountain-100 Black, 42",BK-M82B-42,Black,1898.0944,3374.99,42,9421.06,5,19
777,"Mountain-100 Black, 44",BK-M82B-44,Black,1898.0944,3374.99,44,9584.36,5,19
778,"Mountain-100 Black, 48",BK-M82B-48,Black,1898.0944,3374.99,48,9715.9,5,19
779,"Mountain-200 Silver, 38",BK-M68S-38,Silver,1265.6195,2319.99,38,10591.33,5,20
780,"Mountain-200 Silver, 42",BK-M68S-42,Silver,1265.6195,2319.99,42,10781.83,5,20
781,"Mountain-200 Silver, 46",BK-M68S-46,Silver,1265.6195,2319.99,46,10945.13,5,20
782,"Mountain-200 Black, 38",BK-M68B-38,Black,1251.9813,2294.99,38,10591.33,5,20
783,"Mountain-200 Black, 42",BK-M68B-42,Black,1251.9813,2294.99,42,10781.83,5,20
784,"Mountain-200 Black, 46",BK-M68B-46,Black,1251.9813,2294.99,46,10945.13,5,20
785,"Mountain-300 Black, 38",BK-M47B-38,Black,598.4354,1079.99,38,11498.51,5,21
786,"Mountain-300 Black, 40",BK-M47B-40,Black,598.4354,1079.99,40,11689.01,5,21
787,"Mountain-300 Black, 44",BK-M47B-44,Black,598.4354,1079.99,44,11852.31,5,21
788,"Mountain-300 Black, 48",BK-M47B-48,Black,598.4354,1079.99,48,11983.85,5,21
789,"Road-250 Red, 44",BK-R89R-44,Red,1518.7864,2443.35,44,6699.52,6,26
790,"Road-250 Red, 48",BK-R89R-48,Red,1518.7864,2443.35,48,6862.82,6,26
791,"Road-250 Red, 52",BK-R89R-52,Red,1518.7864,2443.35,52,6994.36,6,26
792,"Road-250 Red, 58",BK-R89R-58,Red,1554.9479,2443.35,58,7162.19,6,26
793,"Road-250 Black, 44",BK-R89B-44,Black,1554.9479,2443.35,44,6699.52,6,26
794,"Road-250 Black, 48",BK-R89B-48,Black,1554.9479,2443.35,48,6862.82,6,26
795,"Road-250 Black, 52",BK-R89B-52,Black,1554.9479,2443.35,52,6994.36,6,26
796,"Road-250 Black, 58",BK-R89B-58,Black,1554.9479,2443.35,58,7112.29,6,26
797,"Road-550-W Yellow, 38",BK-R64Y-38,Yellow,713.0798,1120.49,38,7869.79,6,29
798,"Road-550-W Yellow, 40",BK-R64Y-40,Yellow,713.0798,1120.49,40,8060.29,6,29
799,"Road-550-W Yellow, 42",BK-R64Y-42,Yellow,713.0798,1120.49,42,8223.59,6,29
800,"Road-550-W Yellow, 44",BK-R64Y-44,Yellow,713.0798,1120.49,44,8355.13,6,29
801,"Road-550-W Yellow, 48",BK-R64Y-48,Yellow,713.0798,1120.49,48,8473.06,6,29
802,LL Fork,FK-1639,NULL,65.8097,148.22,NULL,NULL,14,104
803,ML Fork,FK-5136,NULL,77.9176,175.49,NULL,NULL,14,105
804,HL Fork,FK-9939,NULL,101.8936,229.49,NULL,NULL,14,106
805,LL Headset,HS-0296,NULL,15.1848,34.2,NULL,NULL,15,59
806,ML Headset,HS-2451,NULL,45.4168,102.29,NULL,NULL,15,60
807,HL Headset,HS-3479,NULL,55.3801,124.73,NULL,NULL,15,61
808,LL Mountain Handlebars,HB-M243,NULL,19.7758,44.54,NULL,NULL,8,52
809,ML Mountain Handlebars,HB-M763,NULL,27.4925,61.92,NULL,NULL,8,54
810,HL Mountain Handlebars,HB-M918,NULL,53.3999,120.27,NULL,NULL,8,55
811,LL Road Handlebars,HB-R504,NULL,19.7758,44.54,NULL,NULL,8,56
812,ML Road Handlebars,HB-R720,NULL,27.4925,61.92,NULL,NULL,8,57
813,HL Road Handlebars,HB-R956,NULL,53.3999,120.27,NULL,NULL,8,58
814,"ML Mountain Frame - Black, 38",FR-M63B-38,Black,185.8193,348.76,38,1238.3,16,15
815,LL Mountain Front Wheel,FW-M423,Black,26.9708,60.745,NULL,NULL,21,42
816,ML Mountain Front Wheel,FW-M762,Black,92.8071,209.025,NULL,NULL,21,45
817,HL Mountain Front Wheel,FW-M928,Black,133.2955,300.215,NULL,NULL,21,46
818,LL Road Front Wheel,FW-R623,Black,37.9909,85.565,NULL,900,21,49
819,ML Road Front Wheel,FW-R762,Black,110.2829,248.385,NULL,850,21,50
820,HL Road Front Wheel,FW-R820,Black,146.5466,330.06,NULL,650,21,51
821,Touring Front Wheel,FW-T905,Black,96.7964,218.01,NULL,NULL,21,44
822,"ML Road Frame-W - Yellow, 38",FR-R72Y-38,Yellow,360.9428,594.83,38,988.83,18,17
823,LL Mountain Rear Wheel,RW-M423,Black,38.9588,87.745,NULL,NULL,21,123
824,ML Mountain Rear Wheel,RW-M762,Black,104.7951,236.025,NULL,NULL,21,124
825,HL Mountain Rear Wheel,RW-M928,Black,145.2835,327.215,NULL,NULL,21,125
826,LL Road Rear Wheel,RW-R623,Black,49.9789,112.565,NULL,1050,21,126
827,ML Road Rear Wheel,RW-R762,Black,122.2709,275.385,NULL,1000,21,77
828,HL Road Rear Wheel,RW-R820,Black,158.5346,357.06,NULL,890,21,78
829,Touring Rear Wheel,RW-T905,Black,108.7844,245.01,NULL,NULL,21,43
830,"ML Mountain Frame - Black, 40",FR-M63B-40,Black,185.8193,348.76,40,1256.44,16,14
831,"ML Mountain Frame - Black, 44",FR-M63B-44,Black,185.8193,348.76,44,1274.59,16,14
832,"ML Mountain Frame - Black, 48",FR-M63B-48,Black,185.8193,348.76,48,1292.73,16,14
833,"ML Road Frame-W - Yellow, 40",FR-R72Y-40,Yellow,360.9428,594.83,40,1006.97,18,17
834,"ML Road Frame-W - Yellow, 42",FR-R72Y-42,Yellow,360.9428,594.83,42,1025.11,18,17
835,"ML Road Frame-W - Yellow, 44",FR-R72Y-44,Yellow,360.9428,594.83,44,1043.26,18,17
836,"ML Road Frame-W - Yellow, 48",FR-R72Y-48,Yellow,360.9428,594.83,48,1061.4,18,17
837,"HL Road Frame - Black, 62",FR-R92B-62,Black,868.6342,1431.5,62,1043.26,18,6
838,"HL Road Frame - Black, 44",FR-R92B-44,Black,868.6342,1431.5,44,961.61,18,6
839,"HL Road Frame - Black, 48",FR-R92B-48,Black,868.6342,1431.5,48,979.75,18,6
840,"HL Road Frame - Black, 52",FR-R92B-52,Black,868.6342,1431.5,52,997.9,18,6
841,"Men's Sports Shorts, S",SH-M897-S,Black,24.7459,59.99,S,NULL,26,13
842,"Touring-Panniers, Large",PA-T100,Grey,51.5625,125,NULL,NULL,39,120
843,Cable Lock,LO-C100,NULL,10.3125,25,NULL,NULL,38,115
844,Minipump,PU-0452,NULL,8.2459,19.99,NULL,NULL,40,116
845,Mountain Pump,PU-M044,NULL,10.3084,24.99,NULL,NULL,40,117
846,Taillights - Battery-Powered,LT-T990,NULL,5.7709,13.99,NULL,NULL,37,108
847,Headlights - Dual-Beam,LT-H902,NULL,14.4334,34.99,NULL,NULL,37,109
848,Headlights - Weatherproof,LT-H903,NULL,18.5584,44.99,NULL,NULL,37,110
849,"Men's Sports Shorts, M",SH-M897-M,Black,24.7459,59.99,M,NULL,26,13
850,"Men's Sports Shorts, L",SH-M897-L,Black,24.7459,59.99,L,NULL,26,13
